Sl.No,Material Code,Material Description,UNSPSC Classification Code,Reference Document
1,29323299,"TRANSMITTER,PRESSURE,0 bar,6 bar",,
2,20043101,"CYLINDER,HYDRAULIC,40 mm,25 mm,200 mm",,
3,20042170,"CRANE,WINCH,250 kg,0 V",,
4,29327948,"WASHER,FLAT,EN 14399-6,M30,HV 300,tZn",,
5,29328037,"FILTER,AIR,EN 779,10 µm",,
6,29323034,"CONTACTOR,16 A,690 V,1NO,50/60 HZ",,
7,29327949,"BOLT,ISO 4017,M30,180 mm,8.8U,tZn",,"7. 29327949.prt-With dimension, Chat GPT"
8,20055966,"BOLT,ISO 4014,M42,340 mm,10.9,tZn",,8. 20055966.prt-With dimension
9,29457666,"BOLT,EN 1665,M8,35 mm,A4-70",,9. 29457666.prt-With dimension
10,29360575,"BOLT,NON STD,M56,625 mm,10.9,tZn",,"10. 29360575.drw-With dimension-1, 10. 29360575.drw-With dimension-2"
11,20053405,"BOLT,TEE HEAD,NON STD,M8,30 mm,STEEL",,11. 20053405.prt-With dimension
12,29021523,MOBILGEAR SHC XMP 320 208L,,
13,29096934,"CORROSION INHIBITOR,MOLYKOTE G-RAPID PLU",,
14,29096851,"LUBRICATING OIL,HYD,MOBIL DTE 24,20l CAN",,
15,29092990,"GREASE,KLUBERPLEX AG11 462,450G         ",,
16,29103803,SHELL RHODINA BBZ 5KG HOVE              ,,
17,29081628,"ZEREXG-05 50/50MIXCOOLANT,208L",,
18,29320447,SET OF SHELLS MIDDLE,,
19,29320443,SET OF SHELLS TOP,,
