UNSPSC Number,UNSPSC Description
11111701,SILICA SAND
11122001,PLYWOOD
11151512,GLASS FIBERS
11151514,POLYMER ARAMID FIBERS
11161804,KNIT SYNTHETIC FABRICS
11162104,GRAPHITE FABRIC OR CLOTH
1116210501,GLASS FABRIC KIT
1116210502,GLASS FABRIC
1116210503,FABRIC MATERIAL SYSTEMS
1116210701,RESIN IMPREGNATED FABRIC OR CLOTH-PP
1116210702,RESIN IMPREGNATED FABRIC OR CLOTH-SP
11162108,WIRE MESH FABRIC OR CLOTH
11162111,MESH
11162124,FELT FABRICS
11162136,NARROW WEAVE FABRIC
11191602,BASIC STEEL SCRAP
12141903,NITROGEN N
12141904,OXYGEN O
12142004,ARGON GAS AR
12142005,HELIUM GAS HE
12181601,SYNTHETIC OILS
12191601,ALCOHOL SOLVENTS
12191602,ACTIVE SOLVENTS
12352104,ALCOHOLS OR ITS SUBSTITUTES
12352115,KETONES OR QUINONES OR ITS SUBSTITUTES
12352310,SILICONES
13101708,SILICONE VMQ AND PMQ AND PVMQ
13101725,ETHYLENE PROPYLENE DIENE EPDM
13102001,ACRYLONITRILE BUTADIENE STYRENE ABS
13102003,ACETAL POLYMER
13102006,ACRYLONITRILE STYRENE ACRYLIC ASA ALLOYS
13102017,HIGH DENSITY POLYETHYLENE HDPE
13102020,POLYETHYLENE TEREPTHALATE PET
13102022,POLYPROPYLENE PP
13102029,RIGID THERMOPLASTIC POLYURETHANE RPTU
13102030,POLYVINYL CHLORIDE PVC
13102032,THERMOPLASTIC POLYOLEFIN TPO
1311100101,EPOXY RESIN
1311100102,EPOXY HARDENER
1311100103,EPOXY KIT
1311100104,EPOXY PACK
13111003,UNSATURATED POLYESTER RESIN
13111016,POLYETHYLENE
1311106101,POLYURETHANE RESINS
1311106102,POLYURETHANE HARDENER
1311106103,POLYURETHANE KIT
1311106104,POLYURETHANE PACK
13111201,POLYETHYLENE FILMS
13111208,NYLON FILMS
13111209,POLYCARBONATE FILMS
13111301,POLYOLEFIN FOAM
13111306,POLYVINYL CHLORIDE FOAM
13111308,POLYSTYRENE FOAM
13111309,POLYURETHANE FOAM
14111507,PRINTER OR COPIER PAPER
14121503,CARDBOARD
14121504,PACKAGING PAPER
15101505,DIESEL FUEL
15101506,GASOLINE OR PETROL
15101507,BENZENE
15111506,ACETYLENE
15121502,CUTTING OIL
15121503,GEAR OIL
15121504,HYDRAULIC OIL
15121505,TRANSFORMER OIL OR INSULATING OIL
15121520,GENERAL PURPOSE LUBRICANTS
15121526,LUBRICANTS FOR FOOD PROCESSING EQUIPMENT
15121530,HEAT TRANSFER OIL OR FLUID
15121802,ANTI CORROSION LUBRICANT
15121803,RUST REMOVER
15121804,RUST PROOFING PREPARATION
15121807,ANTIFREEZE
15121902,GREASE
20101617,GEARMOTORS
20122851,HYDRAULIC POWER UNIT
23101508,CUTTING MACHINES
23131504,POLISHING COMPOUNDS
23153034,MACHINE RAILS
